,word,CLINTON,O'MALLEY,SANDERS,Total
1442,dominates,0.0,0.029411764705882353,0.0,0.011904761904761904
1443,written,0.0,0.029411764705882353,0.0,0.011904761904761904
1444,electric,0.0,0.029411764705882353,0.0,0.011904761904761904
1445,democracies,0.0,0.029411764705882353,0.0,0.011904761904761904
1446,streetdirected,0.0,0.029411764705882353,0.0,0.011904761904761904
1447,aspect,0.0,0.029411764705882353,0.0,0.011904761904761904
1448,opponents,0.0,0.029411764705882353,0.0,0.011904761904761904
1449,speak,0.0,0.029411764705882353,0.03225806451612903,0.023809523809523808
1450,wire,0.0,0.029411764705882353,0.0,0.011904761904761904
1451,reduction,0.0,0.029411764705882353,0.0,0.011904761904761904
1452,suggest,0.0,0.029411764705882353,0.0,0.011904761904761904
1453,disservice,0.0,0.029411764705882353,0.0,0.011904761904761904
1454,wolves,0.0,0.029411764705882353,0.0,0.011904761904761904
1455,defended,0.0,0.029411764705882353,0.0,0.011904761904761904
1456,matter,0.0,0.029411764705882353,0.0,0.011904761904761904
1457,crushing,0.0,0.029411764705882353,0.0,0.011904761904761904
1458,heart,0.0,0.029411764705882353,0.0,0.011904761904761904
1459,visited,0.0,0.029411764705882353,0.0,0.011904761904761904
1460,hold,0.0,0.029411764705882353,0.0,0.011904761904761904
1461,inclusive,0.0,0.029411764705882353,0.0,0.011904761904761904
1462,forty,0.0,0.029411764705882353,0.0,0.011904761904761904
1463,modern,0.0,0.029411764705882353,0.0,0.011904761904761904
1464,considerations,0.0,0.029411764705882353,0.0,0.011904761904761904
1465,hopes,0.0,0.029411764705882353,0.0,0.0
1466,jihadi,0.0,0.029411764705882353,0.0,0.011904761904761904
1467,youve,0.0,0.029411764705882353,0.0967741935483871,0.047619047619047616
1468,highminded,0.0,0.029411764705882353,0.0,0.011904761904761904
1469,coalitions,0.0,0.029411764705882353,0.0,0.0
1470,room,0.0,0.029411764705882353,0.03225806451612903,0.03571428571428571
1471,books,0.0,0.029411764705882353,0.0,0.011904761904761904
1472,intervene,0.0,0.029411764705882353,0.0,0.011904761904761904
1473,shoulders,0.0,0.029411764705882353,0.0,0.011904761904761904
1474,professional,0.0,0.029411764705882353,0.0,0.011904761904761904
1475,development,0.0,0.029411764705882353,0.0,0.023809523809523808
1476,lines,0.0,0.029411764705882353,0.0,0.0
1477,friend,0.0,0.029411764705882353,0.06451612903225806,0.03571428571428571
1478,demonstrated,0.0,0.029411764705882353,0.0,0.011904761904761904
1479,veterans,0.0,0.029411764705882353,0.0,0.011904761904761904
1480,fence,0.0,0.029411764705882353,0.0,0.011904761904761904
1481,graduation,0.0,0.029411764705882353,0.0,0.011904761904761904
1482,kashif,0.0,0.029411764705882353,0.0,0.011904761904761904
1483,somalia,0.0,0.029411764705882353,0.0,0.011904761904761904
1484,developed,0.0,0.029411764705882353,0.0,0.011904761904761904
1485,listening,0.0,0.029411764705882353,0.0,0.011904761904761904
1486,lust,0.0,0.029411764705882353,0.0,0.011904761904761904
1487,transparent,0.0,0.029411764705882353,0.0,0.011904761904761904
1488,sustainable,0.0,0.029411764705882353,0.03225806451612903,0.023809523809523808
1489,employ,0.0,0.029411764705882353,0.0,0.011904761904761904
1490,shamefully,0.0,0.029411764705882353,0.0,0.011904761904761904
1491,happens,0.0,0.029411764705882353,0.0,0.0
1492,lady,0.0,0.029411764705882353,0.03225806451612903,0.023809523809523808
1493,energy,0.0,0.029411764705882353,0.0967741935483871,0.047619047619047616
1494,antique,0.0,0.029411764705882353,0.0,0.011904761904761904
1495,mark,0.0,0.029411764705882353,0.0,0.011904761904761904
1496,differences,0.0,0.029411764705882353,0.0,0.0
1497,scouts,0.0,0.029411764705882353,0.0,0.011904761904761904
1498,late,0.0,0.029411764705882353,0.06451612903225806,0.03571428571428571
1499,repayment,0.0,0.029411764705882353,0.0,0.011904761904761904
1500,seven,0.0,0.029411764705882353,0.0,0.011904761904761904
1501,glass,0.0,0.029411764705882353,0.0,0.011904761904761904
1502,doctor,0.0,0.029411764705882353,0.06451612903225806,0.03571428571428571
1503,seems,0.0,0.029411764705882353,0.0,0.0
1504,minority,0.0,0.029411764705882353,0.0,0.011904761904761904
1505,high,0.0,0.029411764705882353,0.06451612903225806,0.03571428571428571
1506,learn,0.0,0.029411764705882353,0.0,0.011904761904761904
1507,potentially,0.0,0.029411764705882353,0.03225806451612903,0.023809523809523808
1508,entitled,0.0,0.029411764705882353,0.0,0.011904761904761904
1509,sit,0.0,0.029411764705882353,0.0,0.011904761904761904
1510,highly,0.0,0.029411764705882353,0.0,0.011904761904761904
1511,traveling,0.0,0.029411764705882353,0.0,0.011904761904761904
1512,socialism,0.0,0.029411764705882353,0.0,0.011904761904761904
1513,chunk,0.0,0.029411764705882353,0.0,0.011904761904761904
1514,yeah,0.0,0.029411764705882353,0.0967741935483871,0.047619047619047616
1515,using,0.0,0.029411764705882353,0.0,0.0
1516,gleeful,0.0,0.029411764705882353,0.0,0.011904761904761904
1517,gutwrenching,0.0,0.029411764705882353,0.0,0.011904761904761904
1518,abandoned,0.0,0.029411764705882353,0.0,0.011904761904761904
1519,spoke,0.0,0.029411764705882353,0.0,0.011904761904761904
1520,stabilize,0.0,0.029411764705882353,0.0,0.011904761904761904
1521,determine,0.0,0.029411764705882353,0.0,0.011904761904761904
1522,invoking,0.0,0.029411764705882353,0.0,0.011904761904761904
1523,hillary,0.0,0.029411764705882353,0.0967741935483871,0.047619047619047616
1524,old,0.0,0.029411764705882353,0.0,0.011904761904761904
1525,springboard,0.0,0.029411764705882353,0.0,0.011904761904761904
1526,sights,0.0,0.029411764705882353,0.0,0.011904761904761904
1527,miss,0.0,0.029411764705882353,0.0,0.011904761904761904
1528,susceptible,0.0,0.029411764705882353,0.0,0.011904761904761904
1529,excuse,0.0,0.029411764705882353,0.06451612903225806,0.03571428571428571
1530,five,0.0,0.029411764705882353,0.0,0.011904761904761904
1531,bureaucracies,0.0,0.029411764705882353,0.0,0.011904761904761904
1532,humanitarian,0.0,0.029411764705882353,0.0,0.011904761904761904
1533,drag,0.0,0.029411764705882353,0.0,0.011904761904761904
1534,union,0.0,0.029411764705882353,0.0,0.011904761904761904
1535,yesterday,0.0,0.029411764705882353,0.0,0.011904761904761904
1536,county,0.0,0.029411764705882353,0.0,0.011904761904761904
1537,upon,0.0,0.029411764705882353,0.0,0.011904761904761904
1538,office,0.0,0.029411764705882353,0.06451612903225806,0.03571428571428571
1539,visas,0.0,0.029411764705882353,0.0,0.011904761904761904
1540,normal,0.0,0.029411764705882353,0.0,0.011904761904761904
1541,20year,0.0,0.029411764705882353,0.0,0.011904761904761904
1542,race,0.0,0.029411764705882353,0.0967741935483871,0.047619047619047616
1543,harder,0.0,0.029411764705882353,0.0,0.0
1544,progressive,0.0,0.029411764705882353,0.03225806451612903,0.023809523809523808
1545,lone,0.0,0.029411764705882353,0.0,0.011904761904761904
1546,waking,0.0,0.029411764705882353,0.0,0.011904761904761904
1547,combination,0.0,0.029411764705882353,0.0,0.011904761904761904
1548,practical,0.0,0.029411764705882353,0.0,0.011904761904761904
1549,killing,0.0,0.029411764705882353,0.0,0.03571428571428571
1550,bullying,0.0,0.029411764705882353,0.0,0.011904761904761904
1551,preferred,0.0,0.029411764705882353,0.0,0.011904761904761904
1552,citizens,0.0,0.029411764705882353,0.0,0.011904761904761904
1553,juvenile,0.0,0.029411764705882353,0.0,0.011904761904761904
1554,toil,0.0,0.029411764705882353,0.0,0.011904761904761904
1555,worship,0.0,0.029411764705882353,0.0,0.011904761904761904
1556,generate,0.0,0.029411764705882353,0.0,0.011904761904761904
1557,changes,0.0,0.029411764705882353,0.0,0.0
1558,undermine,0.0,0.029411764705882353,0.0,0.011904761904761904
1559,addictive,0.0,0.029411764705882353,0.0,0.011904761904761904
1560,products,0.0,0.029411764705882353,0.0,0.011904761904761904
1561,standards,0.0,0.029411764705882353,0.0,0.011904761904761904
1562,lowest,0.0,0.029411764705882353,0.0,0.011904761904761904
1563,somewhat,0.0,0.029411764705882353,0.0,0.011904761904761904
1564,following,0.0,0.029411764705882353,0.0,0.011904761904761904
1565,upward,0.0,0.029411764705882353,0.0,0.011904761904761904
1566,antibullying,0.0,0.029411764705882353,0.0,0.011904761904761904
1567,failures,0.0,0.029411764705882353,0.0,0.0
1568,modernday,0.0,0.029411764705882353,0.0,0.011904761904761904
1569,burden,0.0,0.029411764705882353,0.0,0.011904761904761904
1570,embrace,0.0,0.029411764705882353,0.0,0.011904761904761904
1571,aaa,0.0,0.029411764705882353,0.0,0.011904761904761904
1572,candidate,0.0,0.029411764705882353,0.12903225806451613,0.05952380952380952
1573,bed,0.0,0.029411764705882353,0.0,0.011904761904761904
1574,submitting,0.0,0.029411764705882353,0.0,0.011904761904761904
1575,nras,0.0,0.029411764705882353,0.0,0.011904761904761904
1576,lawyer,0.0,0.029411764705882353,0.0,0.011904761904761904
1577,contributing,0.0,0.029411764705882353,0.0,0.011904761904761904
1578,partnerships,0.0,0.029411764705882353,0.0,0.011904761904761904
1579,torn,0.0,0.029411764705882353,0.0,0.011904761904761904
1580,incorporate,0.0,0.029411764705882353,0.0,0.011904761904761904
1581,workers,0.0,0.029411764705882353,0.06451612903225806,0.0
1582,amorphous,0.0,0.029411764705882353,0.0,0.011904761904761904
1583,include,0.0,0.029411764705882353,0.0,0.03571428571428571
